==============================================================================
  GO BP enrichment — LROT LR genes (v2: real background, deduped)
==============================================================================

Annotation source : GO go-basic.obo + mgi.gaf.gz (MGI, mouse)
Aspect            : biological_process only; NOT qualifiers excluded
Foreground        : 109 LR genes (109/109 annotated)
Background        : 27424 mouse genes with >=1 BP annotation
True-path rule    : annotations propagated to ancestors (is_a/part_of)
Test              : Fisher exact (one-sided greater); BH over all 4280 tested terms
Reported          : padj < 0.05 AND >=3 foreground genes

GO ID        Term                                                     fg      bg     fold        p      p_adj
GO:0007599   hemostasis                                                3     137      5.5  1.8e-02    2.8e-02
GO:0010821   regulation of mitochondrion organization                  3     138      5.5  1.9e-02    2.9e-02
GO:0010038   response to metal ion                                     5     380      3.3  1.9e-02    2.9e-02
GO:1901990   regulation of mitotic cell cycle phase transition         5     381      3.3  1.9e-02    2.9e-02
GO:1902115   regulation of organelle assembly                          4     253      4.0  1.9e-02    3.0e-02
GO:0030183   B cell differentiation                                    3     141      5.4  2.0e-02    3.0e-02
GO:0001910   regulation of leukocyte mediated cytotoxicity             3     142      5.3  2.0e-02    3.0e-02
GO:0044403   biological process involved in symbiotic interaction      3     143      5.3  2.0e-02    3.1e-02
GO:0019058   viral life cycle                                          3     146      5.2  2.1e-02    3.2e-02
GO:0046683   response to organophosphorus                              3     146      5.2  2.1e-02    3.2e-02
GO:0010927   cellular component assembly involved in morphogenesis     3     147      5.1  2.2e-02    3.3e-02
GO:0032989   cellular anatomical entity morphogenesis                  3     147      5.1  2.2e-02    3.3e-02
GO:0050864   regulation of B cell activation                           3     148      5.1  2.2e-02    3.3e-02
GO:0006936   muscle contraction                                        4     266      3.8  2.3e-02    3.4e-02
GO:0010212   response to ionizing radiation                            3     150      5.0  2.3e-02    3.4e-02
GO:0098657   import into cell                                          7     709      2.5  2.4e-02    3.5e-02
GO:0042177   negative regulation of protein catabolic process          3     154      4.9  2.5e-02    3.6e-02
GO:0042742   defense response to bacterium                             5     414      3.0  2.6e-02    3.7e-02
GO:0007605   sensory perception of sound                               4     278      3.6  2.6e-02    3.8e-02
GO:0030036   actin cytoskeleton organization                           6     566      2.7  2.6e-02    3.8e-02
GO:0043467   regulation of generation of precursor metabolites and     3     159      4.7  2.7e-02    3.9e-02
GO:0002285   lymphocyte activation involved in immune response         3     161      4.7  2.8e-02    3.9e-02
GO:0006979   response to oxidative stress                              5     423      3.0  2.8e-02    3.9e-02
GO:0110053   regulation of actin filament organization                 4     285      3.5  2.8e-02    4.0e-02
GO:0032886   regulation of microtubule-based process                   4     293      3.4  3.1e-02    4.3e-02
GO:0010565   regulation of ketone metabolic process                    3     168      4.5  3.1e-02    4.3e-02
GO:0014074   response to purine-containing compound                    3     169      4.5  3.1e-02    4.3e-02
GO:1903305   regulation of regulated secretory pathway                 3     169      4.5  3.1e-02    4.3e-02
GO:1901137   carbohydrate derivative biosynthetic process              6     589      2.6  3.1e-02    4.3e-02
GO:0006941   striated muscle contraction                               3     170      4.4  3.2e-02    4.4e-02
GO:0045088   regulation of innate immune response                      6     591      2.6  3.2e-02    4.4e-02
GO:0035264   multicellular organism growth                             3     171      4.4  3.2e-02    4.4e-02
GO:0006508   proteolysis                                               6     595      2.5  3.2e-02    4.5e-02
GO:0016032   viral process                                             3     173      4.4  3.3e-02    4.6e-02
GO:0032006   regulation of TOR signaling                               3     175      4.3  3.4e-02    4.7e-02

--- Top 25 by p (all tested terms) ---
GO:0007166   cell surface receptor signaling pathway                fg=102 bg=  2133 fold=  12.0 p=1.14e-102 padj=4.88e-99
GO:0009653   anatomical structure morphogenesis                     fg= 95 bg=  2482 fold=   9.6 p=1.63e-82 padj=3.50e-79
GO:0048731   system development                                     fg=104 bg=  3887 fold=   6.7 p=1.01e-80 padj=1.44e-77
GO:0007275   multicellular organism development                     fg=104 bg=  4410 fold=   5.9 p=3.85e-75 padj=4.12e-72
GO:0040012   regulation of locomotion                               fg= 74 bg=  1193 fold=  15.6 p=1.30e-72 padj=1.11e-69
GO:0048513   animal organ development                               fg= 96 bg=  3326 fold=   7.3 p=1.58e-72 padj=1.13e-69
GO:0160108   animal gross anatomical part developmental process     fg=105 bg=  4971 fold=   5.3 p=8.18e-72 padj=5.00e-69
GO:0051094   positive regulation of developmental process           fg= 77 bg=  1632 fold=  11.9 p=1.20e-67 padj=6.44e-65
GO:0030334   regulation of cell migration                           fg= 69 bg=  1078 fold=  16.1 p=1.66e-67 padj=7.88e-65
GO:0022603   regulation of anatomical structure morphogenesis       fg= 67 bg=   964 fold=  17.5 p=2.04e-67 padj=8.71e-65
GO:0022008   neurogenesis                                           fg= 76 bg=  1604 fold=  11.9 p=1.22e-66 padj=4.74e-64
GO:0009967   positive regulation of signal transduction             fg= 79 bg=  1878 fold=  10.6 p=3.28e-66 padj=1.17e-63
GO:2000145   regulation of cell motility                            fg= 69 bg=  1139 fold=  15.2 p=6.01e-66 padj=1.98e-63
GO:0007399   nervous system development                             fg= 83 bg=  2304 fold=   9.1 p=1.82e-65 padj=5.58e-63
GO:0050793   regulation of developmental process                    fg= 88 bg=  2916 fold=   7.6 p=1.01e-64 padj=2.87e-62
GO:0048856   anatomical structure development                       fg=105 bg=  5877 fold=   4.5 p=2.53e-64 padj=6.76e-62
GO:0030154   cell differentiation                                   fg= 95 bg=  3976 fold=   6.0 p=9.77e-64 padj=2.38e-61
GO:0048869   cellular developmental process                         fg= 95 bg=  3977 fold=   6.0 p=9.99e-64 padj=2.38e-61
GO:0010647   positive regulation of cell communication              fg= 81 bg=  2238 fold=   9.1 p=1.95e-63 padj=4.39e-61
GO:0051240   positive regulation of multicellular organismal proces fg= 79 bg=  2055 fold=   9.7 p=2.85e-63 padj=6.10e-61
GO:0051239   regulation of multicellular organismal process         fg= 91 bg=  3515 fold=   6.5 p=2.47e-62 padj=5.04e-60
GO:2000026   regulation of multicellular organismal development     fg= 74 bg=  1685 fold=  11.0 p=4.39e-62 padj=8.55e-60
GO:0023056   positive regulation of signaling                       fg= 80 bg=  2239 fold=   9.0 p=6.13e-62 padj=1.14e-59
GO:0048468   cell development                                       fg= 85 bg=  2805 fold=   7.6 p=1.29e-61 padj=2.30e-59
GO:0035239   tube morphogenesis                                     fg= 59 bg=   742 fold=  20.0 p=2.45e-61 padj=4.19e-59

--- 前景命中基因（padj<0.05, >=3 基因）---
GO:0007166  cell surface receptor signaling pathway
    Acvr1, Artn, Bdnf, Bmp2, Bmp4, Bmp7, Bmpr1a, Bmpr2, Ccl2, Ccl5, Ccr2, Ccr5, Col1a1, Cxcl12, Cxcl13, Cxcr4, Cxcr5, Dhh, Dll1, Dll4, Efna1, Efna5, Efnb1, Efnb2, Egf, Egfr, Epha3, Epha4, Ephb2, Ephb4, Fgf10, Fgf15, Fgf2, Fgf8, Fgfr1, Fgfr2, Flt1, Fzd1, Fzd10, Fzd5, Gdnf, Gfra1, Gfra2, Gfra3, Hgf, Igf1, Igf1r, Igf2, Ihh, Il1b, Il1r1, Itga1, Itga2, Itgav, Jag1, Jag2, Kdr, L1cam, Lama1, Lrp8, Met, Ncam1, Ngf, Notch1, Notch2, Notch4, Nrp1, Nrp2, Nrtn, Ntf3, Ntrk1, Ntrk2, Ntrk3, Pdgfa, Pdgfb, Pdgfra, Pdgfrb, Plxna2, Plxnb1, Reln, Robo1, Sema3a, Sema3f, Sema4d, Sema6a, Shh, Slit2, Slit3, Tgfb1, Tgfb2, Tgfbr1, Tgfbr2, Tnf, Tnfrsf1a, Vegfa, Vegfb, Vldlr, Vtn, Wnt1, Wnt3a, Wnt5a, Wnt7a
GO:0009653  anatomical structure morphogenesis
    Acvr1, Artn, Bdnf, Bmp2, Bmp4, Bmp7, Bmpr1a, Bmpr2, Ccl2, Ccr2, Cdh1, Cdh2, Col1a1, Cxcl12, Cxcr4, Dll1, Dll4, Efna1, Efna5, Efnb1, Efnb2, Egf, Egfr, Epha3, Epha4, Ephb2, Ephb4, Fgf10, Fgf2, Fgf8, Fgfr1, Fgfr2, Flt1, Fzd1, Fzd5, Gdnf, Gfra1, Gfra3, Hgf, Igf1, Igf1r, Igf2, Ihh, Itga1, Itga2, Itgav, Jag1, Jag2, Kdr, L1cam, Lama1, Lrp8, Met, Ncam1, Ngf, Notch1, Notch2, Notch4, Nrp1, Nrp2, Ntf3, Ntng1, Ntrk1, Ntrk2, Pdgfa, Pdgfb, Pdgfra, Pdgfrb, Plxna2, Plxnb1, Ptch1, Reln, Robo1, Robo2, Sema3a, Sema3f, Sema4d, Sema6a, Shh, Slit1, Slit2, Slit3, Tgfb1, Tgfb2, Tgfbr1, Tgfbr2, Tnf, Vegfa, Vegfb, Vldlr, Vtn, Wnt1, Wnt3a, Wnt5a, Wnt7a
GO:0048731  system development
    Acvr1, Artn, Bdnf, Bmp2, Bmp4, Bmp7, Bmpr1a, Bmpr2, Ccl2, Ccr2, Cdh1, Cdh2, Col1a1, Cxcl12, Cxcl13, Cxcr4, Cxcr5, Dhh, Dll1, Dll4, Efna1, Efna5, Efnb1, Efnb2, Egf, Egfr, Epha3, Epha4, Ephb2, Ephb4, Fgf10, Fgf15, Fgf2, Fgf8, Fgfr1, Fgfr2, Flt1, Fzd1, Fzd5, Gdnf, Gfra1, Gfra2, Gfra3, Hgf, Igf1, Igf1r, Igf2, Ihh, Il1b, Itga1, Itga2, Itgav, Jag1, Jag2, Kdr, L1cam, Lama1, Lrp8, Met, Ncam1, Ngf, Notch1, Notch2, Notch4, Nrp1, Nrp2, Nrtn, Ntf3, Ntng1, Ntrk1, Ntrk2, Ntrk3, Pdgfa, Pdgfb, Pdgfra, Pdgfrb, Plxna2, Plxnb1, Ptch1, Reln, Robo1, Robo2, Sema3a, Sema3f, Sema4d, Sema6a, Shh, Slit1, Slit2, Slit3, Tgfb1, Tgfb2, Tgfbr1, Tgfbr2, Tnf, Tnfrsf1a, Vegfa, Vegfb, Vldlr, Vtn, Wnt1, Wnt3a, Wnt5a, Wnt7a
GO:0007275  multicellular organism development
    Acvr1, Artn, Bdnf, Bmp2, Bmp4, Bmp7, Bmpr1a, Bmpr2, Ccl2, Ccr2, Cdh1, Cdh2, Col1a1, Cxcl12, Cxcl13, Cxcr4, Cxcr5, Dhh, Dll1, Dll4, Efna1, Efna5, Efnb1, Efnb2, Egf, Egfr, Epha3, Epha4, Ephb2, Ephb4, Fgf10, Fgf15, Fgf2, Fgf8, Fgfr1, Fgfr2, Flt1, Fzd1, Fzd5, Gdnf, Gfra1, Gfra2, Gfra3, Hgf, Igf1, Igf1r, Igf2, Ihh, Il1b, Itga1, Itga2, Itgav, Jag1, Jag2, Kdr, L1cam, Lama1, Lrp8, Met, Ncam1, Ngf, Notch1, Notch2, Notch4, Nrp1, Nrp2, Nrtn, Ntf3, Ntng1, Ntrk1, Ntrk2, Ntrk3, Pdgfa, Pdgfb, Pdgfra, Pdgfrb, Plxna2, Plxnb1, Ptch1, Reln, Robo1, Robo2, Sema3a, Sema3f, Sema4d, Sema6a, Shh, Slit1, Slit2, Slit3, Tgfb1, Tgfb2, Tgfbr1, Tgfbr2, Tnf, Tnfrsf1a, Vegfa, Vegfb, Vldlr, Vtn, Wnt1, Wnt3a, Wnt5a, Wnt7a
